law360_firm_id,law360_firm_name,Lawfirm,LawFirmId,AggregatedDealvalue,DealCount,dupe_MA,qualify_MA,notes_MA,combine_MA
,Hill Ward,Hill Ward Henderson,6119,"$3,577,000,000.00",2,duplicate,,combine with hill ward,HIL7420
HIL7420,Hill Ward,Hill Ward & Henderson,1217,"$853,000,000.00",3,,,,
,,Davidoff Hutcher & Citron,4904,"$125,000,000.00",1,duplicate,,combine with davidoff,DAV6829
DAV6829,,"Davidoff, Hutcher and Citron",5955,"$32,100,000.00",2,,,,
DUA7765,Duane Morris,Duane Morris,2825,"$1,349,688,817.00",15,,,,
,,Duane Morris & Selvam,7608,"$37,000,000.00",1,international,,combine with duane morris,DUA7765
,,Rogers & Hardin,2191,$ -,1,merged,0,"combine with smith gambrell, no deal value",SMI5228
TRO5042,Troutman Pepper,Troutman Pepper Hamilton Sanders,9634,"$16,392,728,717.00",44,,,,
ARE7461,Arent Fox,ArentFox Schiff,2797,"$2,788,900,000.00",12,,,,
TAF9792,Taft,Taft Stettinius & Hollister,2902,"$1,008,885,683.00",13,,,,
,,Pepper Hamilton,2020,"$496,240,000.00",7,merged,,combine with troutman sanders,TRO5042
,,Briggs and Morgan,337,"$255,000,000.00",1,merged,,combine with taft,TAF9792
,,Durham Jones & Pinegar,3751,"$205,323,642.00",4,merged,,combine with dentons,DEN8962
,Davis Brown,Davis Brown Law Firm,5689,"$22,300,000.00",1,merged,,combine with dentons,DEN8962
,,"Pircher, Nichols & Meeks",6427,"$20,000,000.00",1,merged,,combine with holland and knight,HOL8724
,,Vandeventer Black,9969,"$7,300,000.00",1,merged,,combine with Woods Rogers,WOO5905
,,Robinson Brog Leinwand Greene Genovese & Gluck,6745,"$1,000,000.00",2,merged,,combine with Leech Tishman,LEE6006
,Brinks Gilson,,,,,merged,0,"combine with Crowel and Moring, no deal value",CRO9129
,Schiff Hardin,,,,,merged,0,"combine with arent fox, no deal value",ARE7461
,Thompson & Knight LLP,,,,,merged,0,"combine with holland and knight, no deal value",HOL8724
CHA4530,Chamberlain Hrdlicka,"Chamberlain, Hrdlicka, White, Williams & Aughtry",7054,$ -,1,,,,
FAR3874,Farella Braun,Farella Braun + Martel,3795,$ -,1,,,,
GIB2576,Gibbons,Gibbons,6481,$ -,1,,,,
KEL6216,Kelly Hart,Kelly Hart & Hallman,1440,$ -,3,,,,
WHI4236,Whiteford Taylor,Whiteford Taylor Preston,2687,$ -,1,,,,
WYA3604,Wyatt Tarrant,"Wyatt, Tarrant & Combs",9259,$ -,2,,,,
,,"Jonathan E. Soneff, Law Offices of",10035,$ -,1,,,,
,,"Michael A. Littman, Attorney at Law",9254,$ -,2,,,,
,,Barnea Jaffa Lande Law offices,8072,$ -,1,,,,
,,VLP Law Group,6412,$ -,1,,,,
,,S. Friedman,5999,$ -,1,,,,
,,Berg Hill Greenleaf & Ruscitti,6300,$ -,1,,,,
,,Scheef & Stone,2265,$ -,2,,,,
,,Greenfields Law,8903,$ -,1,,,,
,,Silvestre Law Group,9134,$ -,3,,,,
,,"Brewer, Pritchard & Buckley",332,$ -,1,,,,
,,"Frank J. Hariton, Attorney at Law",9692,$ -,1,,,,
,,Clayton Utz,5479,$ -,1,,,,
