law360_firm_id,law360_firm_name,intel_firm_id_RO_2021,intel_firm_name_RO_2021,intel_firm_id_RO_2022,intel_firm_name_RO_2022,Offering Volume,Last Offerings Count,dupe_RO,qualify_RO,notes_RO,combine_RO
ELL6398,Ellenoff Grossman,233590,Ellenoff Grossman & Schole,233590,Ellenoff Grossman & Schole,"$19,083,485,876.00",223,,,,
MCD4329,McDermott,233610,McDermott Will & Emery,233610,McDermott Will & Emery,"$9,372,893,646.00",100,,,,
,Bass Berry,199331,"Bass, Berry & Sims",199331,"Bass, Berry & Sims","$4,909,784,131.00",33,,,,
,,,,242949,"McDermott, Will","$3,000,000,000.00",1,duplicate,,combine with McDermott,MCD4329
SIC4344,,,,241979,Sichenzia Ross Ference LLP,"$1,488,582,632.00",117,,,,
PAR6184,Parsons Behle,210275,Parsons Behle & Latimer,210275,Parsons Behle & Latimer,"$1,109,990,000.00",14,,,,
,,,,240965,"Kulik, Gottesman, Siegel & Ware, LLP","$1,000,000,000.00",4,,,,
,,,,207064,"Kulik, Gottesman & Siegel","$800,000,000.00",3,,0,"duplicate, do not combine",
LUC2236,,,,233640,Lucosky Brookman,"$784,414,716.00",73,,,,
,,,,242718,Bass Berry,"$500,000,040.00",2,duplicate,,combine with bass berry sims,BAS4068
,,,,242341,Ellenoff Grossman&#x00a0 ;& Schole LLP,"$225,000,000.00",1,duplicate,,combine with Ellenoff,ELL6398
CAR1012,,,,242515,"Carmel, Milazzo & Feil LLP","$215,038,039.00",25,,,,
,,,,209642,NautaDutilh,"$201,612,903.00",1,duplicate,0,Less than 50 attys in US,
,,,,243252,Parsons Behle & Lattimer,"$175,000,000.00",1,duplicate,,combine with Parsons,PAR6184
,,,,242993,Sichenzia Ross LLP,"$75,000,000.00",2,duplicate,,combine with sichenzia ross,SIC4344
SIC4344,,,,240960,Sichenzia Ross Ference Kesner LLP,"$58,300,000.00",3,,0,not in intelligize,
FLA6063,,,,242508,Flangas Law Group,"$48,000,001.00",12,,,,
,,,,242406,Flangas Dalacas Law Group,"$40,000,000.00",1,duplicate,,combine with Flangas,FLA6063
,,,,242481,Guantao & Chow Solicitors,"$36,180,000.00",1,,0,less than 50 attys in US,
,,,,233668,Guantao Law Firm,"$36,015,000.00",1,,0,less than 50 attys in US,
,,,,243130,Lucosky Bookman LLP,"$15,000,000.00",1,duplicate,,combine with Lucosky,LUC2236
,,,,240777,"Carmel, Milazzo & DiChiara LLP","$10,500,000.00",3,duplicate,,combine with Carmel Milazzo,CAR1012
,,,,242436,Parsons Behl & Latimer,$400.00,3,duplicate,,combine with Parsons,PAR6184
,,,,233504,Maples and Calder,"$69,752,055,714.00",333,international,0,Less than 50 attys in US,
,,,,241637,Maples and Calder (Hong Kong) L.L.P.,"$64,370,823,966.00",156,international,0,Less than 50 attys in US,
,,,,241841,DLA Piper Luxembourg,"$7,250,000,000.00",3,international,,combine with DLA Piper,DLA8531
,,,,241715,NautaDutilh,"$6,767,480,781.00",37,international,0,Less than 50 attys in US,
,,,,240751,Gowling WLG (Canada) LLP,"$1,800,000,000.00",10,international,0,Less than 50 attys in US,
,,,,242883,White & Case Advokat AB,"$1,434,392,000.00",1,international,,combine with White & Case,WHI8202
,,,,242000,Goodwin Procter (UK) LLP,"$610,000,000.00",12,international,,combine with Goodwin Procter,GOO1738
