law360_firm_id,law360_firm_name,dupe_LM,combine_LM,qualify_LM,lm_firm_id,lm_firm_name,yoda_id,yoda_guid,yoda_url,Law Firm,Total Cases,As Plaintiff,As Defendant,Districts,States / Territories Count,States / Territories Names,Judges,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret,D.Me.,D.Mass.,D.N.H.,D.R.I.,D.P.R.,D.Conn.,E.D.N.Y.,N.D.N.Y.,S.D.N.Y.,W.D.N.Y.,D.Vt.,D.Del.,D.N.J.,E.D.Pa.,M.D.Pa.,W.D.Pa.,D.V.I.,D.Md.,E.D.N.C.,M.D.N.C.,W.D.N.C.,D.S.C.,E.D.Va.,W.D.Va.,N.D.W.Va.,S.D.W.Va.,E.D.La.,M.D.La.,W.D.La.,N.D.Miss.,S.D.Miss.,E.D.Tex.,N.D.Tex.,S.D.Tex.,W.D.Tex.,E.D.Ky.,W.D.Ky.,E.D.Mich.,W.D.Mich.,N.D.Ohio,S.D.Ohio,E.D.Tenn.,M.D.Tenn.,W.D.Tenn.,C.D.Ill.,N.D.Ill.,S.D.Ill.,N.D.Ind.,S.D.Ind.,E.D.Wis.,W.D.Wis.,E.D.Ark.,W.D.Ark.,N.D.Iowa,S.D.Iowa,D.Minn.,E.D.Mo.,W.D.Mo.,D.Neb.,D.N.D.,D.S.D.,D.Alaska,D.Ariz.,C.D.Cal.,E.D.Cal.,N.D.Cal.,S.D.Cal.,D.Guam,D.Haw.,D.Idaho,D.Mont.,D.Nev.,D.N.Mar.I.,D.Or.,E.D.Wash.,W.D.Wash.,D.Colo.,D.Kan.,D.N.M.,E.D.Okla.,N.D.Okla.,W.D.Okla.,D.Utah,D.Wyo.,M.D.Ala.,N.D.Ala.,S.D.Ala.,M.D.Fla.,N.D.Fla.,S.D.Fla.,M.D.Ga.,N.D.Ga.,S.D.Ga.,D.D.C.
BOO1724,Bookoff McAndrews,,,0,130100855,Bookoff McAndrews,157655213,urn:entity:lfm-157655213,https://yoda.lexisai.aws.lexis.com/lawfirms/157655213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHA3758,Chartwell Law Offices,,,0,,,21680250,urn:entity:lfm-21680250,https://yoda.lexisai.aws.lexis.com/lawfirms/21680250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAN1847,Hanna Brophy,,,0,,,63189,urn:entity:lfm-63189,https://yoda.lexisai.aws.lexis.com/lawfirms/63189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THO6712,Thomas J. Henry Injury Attorneys,,,0,,,1309092,urn:entity:lfm-1309092,https://yoda.lexisai.aws.lexis.com/lawfirms/1309092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Davis Brown,merger,DEN8962,,18964221,"Davis, Brown, Koehn, Shors & Roberts",239417,urn:entity:lfm-239417,https://yoda.lexisai.aws.lexis.com/lawfirms/239417,"Davis, Brown, Koehn, Shors & Roberts",29,8,20,4,3,"Illinois, Iowa, Texas",12,0,0,1,2,4,1,6,0,1,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Durham Jones & Pinegar,merger,DEN8962,,,,,,,Durham Jones & Pinegar,40,20,18,9,8,"Arizona, California, Montana, Nevada, New Mexico, New York, Utah, Wisconsin",20,0,1,2,4,12,2,2,0,2,0,0,3,0,1,1,0,0,6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
,Robinson Brog Leinwand Greene Genovese & Gluck,merger,LEE6006,,,,,,,Robinson Brog Leinwand Greene Genovese & Gluck,33,8,17,4,3,"Florida, New Jersey, New York",29,0,8,4,1,5,1,6,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,Vandeventer Black,merger,WOO5905,,,,,,,Vandeventer Black,73,30,43,13,9,"California, Florida, Illinois, Massachusetts, New York, North Carolina, South Carolina, Texas, Virginia",38,0,0,1,5,17,2,4,1,1,1,0,3,0,0,10,1,4,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,55,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
ADA9558,Adams and Reese,,,,4378,Adams & Reese,28706,urn:entity:lfm-28706,https://yoda.lexisai.aws.lexis.com/lawfirms/28706,Adams & Reese,841,149,615,37,22,"Alabama, Arkansas, California, Delaware, District of Columbia, Florida, Georgia, Illinois, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Mississippi, Missouri, New Jersey, New York, North Carolina, South Carolina, Tennessee, Texas, Virgin Islands",218,11,36,17,82,106,8,100,1,4,3,133,4,24,6,14,0,148,22,12,0,2,0,0,0,0,0,0,3,0,0,1,1,0,0,0,1,3,1,0,1,54,0,0,0,0,175,44,80,16,43,7,8,65,11,0,1,0,1,0,0,21,29,46,0,5,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,93,4,58,0,13,0,2
AKE5064,Akerman,,,,51797662,Akerman,648825,urn:entity:lfm-648825,https://yoda.lexisai.aws.lexis.com/lawfirms/648825,Akerman,"1,500",201,"1,243",75,44,"Alabama, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, Ohio, Oregon, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Utah, Virginia, Washington, West Virginia, Wisconsin, Wyoming",493,6,49,74,301,227,17,170,1,23,5,88,28,17,30,5,5,32,60,46,1,14,2,2,1,3,62,1,103,2,0,9,25,13,1,4,0,5,2,5,6,8,10,1,1,0,5,8,4,2,1,31,50,103,59,0,3,5,0,7,2,3,1,1,4,49,2,4,5,8,2,3,1,0,0,4,0,4,0,0,0,0,10,76,17,33,13,0,1,1,2,93,0,4,1,5,18,4,7,0,0,0,18,2,0,6,1,192,17,297,2,27,0,1
