firm_id,Short Form Origin Match Law Firm Name,Law Firm Full Name,Law Firm Graphics Name,Law360 Index Name,Law360 Surveys Dropdown Name,yoda_id,yoda_guid,yoda_url,Law360 Salesdesk ID,Law Firm Status,Notes,NonUS,NonUS Firm Send Survey,total_attorneys,attorneys_method,surveys_dropdown,ENTITY TYPE
KEL2368,Keller and Heckman,Keller and Heckman LLP,Keller and Heckman,Keller & Heckman,Keller & Heckman,305238,urn:entity:lfm-305238,https://yoda.lexisai.aws.lexis.com/lawfirms/305238,4c52dd5bcc956f21c4001e1c,CURRENT,"Ampersand in index, 'and' in copy. Firm website has it both ways.",,,,,Include,
JOH5208,Johnson Winter,Johnson Winter & Slattery,Johnson Winter & Slattery,Johnson Winter & Slattery,Johnson Winter & Slattery,939052,urn:entity:lfm-939052,https://yoda.lexisai.aws.lexis.com/lawfirms/939052,5005911749258a5af900bc92,CURRENT,Australian,YES,NO,,,,
LIC9712,Licks Attorneys,Licks Attorneys,,Licks Attorneys,Licks Attorneys,156919415,urn:entity:lfm-156919415,https://yoda.lexisai.aws.lexis.com/lawfirms/156919415,5acbc0adea43fe42ed0001de,CURRENT,Brazil. Most autollinked stories are not to this firm,YES,NO,,,,
TOR9260,Torys,Torys LLP,Torys,Torys,Torys,386703,urn:entity:lfm-386703,https://yoda.lexisai.aws.lexis.com/lawfirms/386703,4c52dd61cc956f21c400265a,CURRENT,Canadian Firm,YES,NO,,,,
GRE2781,Greenbaum Rowe,Greenbaum Rowe Smith & Davis LLP,Greenbaum Rowe,Greenbaum Rowe,Greenbaum Rowe,919215,urn:entity:lfm-919215,https://yoda.lexisai.aws.lexis.com/lawfirms/919215,4c52dd5acc956f21c4001bb8,CURRENT,"Chalker, Green & Rowe is a Canadian firm. Greenbaum Rowe is a NJ firm. ",,,,,Include,
MIL7562,Milberg Coleman,Milberg Coleman Bryson Phillips Grossman PLLC,Milberg,Milberg Coleman,Milberg,102783,urn:entity:lfm-102783,https://yoda.lexisai.aws.lexis.com/lawfirms/102783,,CURRENT,"Four firms merged to create this one, which prefers to be called Milberg ",,,,,Include,
WAL1179,Walden Macht,Walden Macht & Haran LLP,Walden Macht,Walden Macht,Walden Macht,300732373,urn:entity:lfm-300732373,https://yoda.lexisai.aws.lexis.com/lawfirms/300732373,,CURRENT,https://wmhlaw.com/,,,,,Include,
SEL8060,Selendy Gay,Selendy Gay Elsberg PLLC,Selendy Gay,Selendy & Gay,Selendy Gay,300732399,urn:entity:lfm-300732399,https://yoda.lexisai.aws.lexis.com/lawfirms/300732399,,CURRENT,https://www.selendygay.com/,,,,,Include,
THO4012,Thompson Coburn,Thompson Coburn Hahn & Hessen LLP,Thompson Coburn,Thompson Coburn,Thompson Coburn,309419,urn:entity:lfm-309419,https://yoda.lexisai.aws.lexis.com/lawfirms/309419,4c52dd61cc956f21c400262f,CURRENT,Merged with Hahn & Hessen. Long name is now Thompson Coburn Hahn & Hessen LLP,,,,,Include,
FOW8015,Fowler White,Fowler White Burnett PA,Fowler White Burnett,Fowler White Burnett,Fowler White Burnett,669815,urn:entity:lfm-669815,https://yoda.lexisai.aws.lexis.com/lawfirms/669815,4c52dd59cc956f21c4001a9e,CURRENT,Not affiliated with the former Fowler White Boggs PA which is now Buchanan Ingersoll & Rooney PC,,,,,Include,
MUL6420,Mullen & Filippi,Mullen & Filippi LLP,Mullen & Filippi,Mullen & Filippi,Mullen & Filippi,63303,urn:entity:lfm-63303,https://yoda.lexisai.aws.lexis.com/lawfirms/63303,5005e1c9e5276e22af004290,CURRENT,Not in index,,,,,Include,
THO6480,Thomas Thomas & Hafer,Thomas Thomas & Hafer LLP,,Thomas Thomas,Thomas Thomas & Hafer,1216243,urn:entity:lfm-1216243,https://yoda.lexisai.aws.lexis.com/lawfirms/1216243,,CURRENT,Should this really be the dropdown name?  I'd spell out Thomas Thomas & Hafer,,,,,Include,
JAC5565,Jacoby & Meyers,Jacoby & Meyers,Jacoby & Meyers,Jacoby & Meyers LLP,Jacoby & Meyers,49324,urn:entity:lfm-49324,https://yoda.lexisai.aws.lexis.com/lawfirms/49324,55c8af3f170ceb3154008fd0,CURRENT,There are index entries for Jacoby & Meyers LLC and Jacoby & Meyers LLP but the only autollinks are to the LLP. Possible that the LLC is a bankruptcy spinoff.,,,,,Include,
SEE6209,Seed IP Law Group,Seed Intellectual Property Law Group,Seed IP,Seed IP Law Group,Seed IP Law Group,1114959,urn:entity:lfm-1114959        ,https://yoda.lexisai.aws.lexis.com/lawfirms/1114959,4c52dd5fcc956f21c4002485,CURRENT,this is : urn:entity:lfm-1114959        Seed Intellectual Property Law Group PLLC,,,,,Include,
CDF9485,CDF Labor Law,CDF Labor Law LLP,CDF Labor Law,CDF Labor Law,CDF Labor Law,92193,urn:entity:lfm-92193,https://yoda.lexisai.aws.lexis.com/lawfirms/92193,,CURRENT,This is a rename of Carothers Disante.  CAR4696Yoda has yet to update with name change,,,,,Include,
MIN3683,Minster Law,Minster Law,Minster Law,Minster Law,Minster Law,10612236,urn:entity:lfm-10612236,https://yoda.lexisai.aws.lexis.com/lawfirms/10612236,57dab4e22117d503c701b0f6,CURRENT,UK,YES,NO,,,,
MIS6264,Mishcon De Reya,Mishcon De Reya LLP,Mishcon De Reya,Mishcon De Reya,Mishcon De Reya,973217,urn:entity:lfm-973217,https://yoda.lexisai.aws.lexis.com/lawfirms/973217,512783a8741a786fa1000ec6,CURRENT,UK & Asia,YES,NO,,,,
ALL2087,Allen & Overy,Allen & Overy LLP,Allen & Overy,Allen & Overy,Allen & Overy,386100,urn:entity:lfm-386100,https://yoda.lexisai.aws.lexis.com/lawfirms/386100,4c52dd56cc956f21c40014f2,CURRENT,UK Firm,YES,YES,,,Include,
ASH5568,Ashurst,Ashurst LLP,,Ashurst LLP,Ashurst LLP,374920,urn:entity:lfm-374920,https://yoda.lexisai.aws.lexis.com/lawfirms/374920,50072b4824d8a93112003bf6,CURRENT,UK Firm,YES,NO,,,Include,
ASH8830,Ashfords LLP,Ashfords LLP,Ashfords,Ashfords LLP,Ashfords LLP,10356236,urn:entity:lfm-10356236,https://yoda.lexisai.aws.lexis.com/lawfirms/10356236,54d8daf0f116e4110000067b,CURRENT,UK Firm,YES,NO,,,,
CLI3554,Clifford Chance,Clifford Chance LLP,Clifford Chance,Clifford Chance,Clifford Chance,312068,urn:entity:lfm-312068,https://yoda.lexisai.aws.lexis.com/lawfirms/312068,4c52dd58cc956f21c40017fd,CURRENT,UK Firm,YES,YES,,,Include,
CLY3321,Clyde & Co,Clyde & Co. LLP,Clyde & Co,Clyde & Co,Clyde & Co,957127,urn:entity:lfm-957127,https://yoda.lexisai.aws.lexis.com/lawfirms/957127,4d8216760ae30a23540005a2,CURRENT,UK Firm,YES,YES,,,Include,
PIN7776,Pinsent Masons,Pinsent Masons LLP,Pinsent Masons,Pinsent Masons,Pinsent Masons,10326236,urn:entity:lfm-10326236,https://yoda.lexisai.aws.lexis.com/lawfirms/10326236,512e38e15a1006421e000016,CURRENT,UK Firm,YES,NO,,,,
WIT7534,Withers Bergman,Withers Bergman LLP,Withers,Withers Bergman,Withers Bergman,276734,urn:entity:lfm-276734,https://yoda.lexisai.aws.lexis.com/lawfirms/276734,4c52dd62cc956f21c40027ac,CURRENT,UK Firm,YES,YES,,,Include,
