District,Total Cases,State / Territory,Antitrust,Bankruptcy,Civil Rights,Consumer Protection,Contracts,Copyright,Employment,Environmental,ERISA,False Claims,Insurance,Patent,Product Liability,Securities,Surety Bond,Tax,Torts,Trademark,Trade Secret
M.D.Ala.,"1,277",Alabama,3,23,61,69,56,6,278,1,13,2,118,3,42,0,17,2,168,6,5
N.D.Ala.,"3,603",Alabama,7,25,254,455,229,11,963,8,142,18,284,7,101,12,18,5,378,26,20
S.D.Ala.,"1,084",Alabama,1,7,44,82,76,10,188,3,5,2,192,2,44,3,10,4,166,10,5
D.Alaska,786,Alaska,0,9,26,9,36,6,56,25,10,52,89,2,18,1,5,8,107,6,2
D.Ariz.,"5,135",Arizona,2,66,178,603,410,65,990,36,154,21,406,51,158,42,11,30,456,186,53
E.D.Ark.,"1,892",Arkansas,0,7,109,70,141,13,567,1,56,5,159,12,74,5,10,8,276,22,16
W.D.Ark.,977,Arkansas,0,6,34,30,83,10,212,1,46,3,98,5,35,1,8,4,153,13,6
C.D.Cal.,"39,174",California,59,362,"11,355","2,675","2,048","2,008","3,389",103,689,42,"1,376",766,"1,821",380,47,100,"1,755","1,276",217
E.D.Cal.,"6,042",California,4,27,"1,209",491,259,179,874,62,84,10,245,30,378,21,17,45,338,66,28
N.D.Cal.,"16,582",California,171,121,"4,349",832,916,878,"1,228",137,616,37,474,580,"1,323",501,23,43,510,348,178
S.D.Cal.,"5,025",California,14,117,632,779,368,213,492,20,87,18,204,118,356,87,29,17,277,162,68
D.Colo.,"7,315",Colorado,12,53,679,357,492,130,959,32,101,10,"1,669",132,129,127,24,22,662,179,94
D.Conn.,"3,981",Connecticut,43,69,228,220,326,88,817,18,104,14,224,24,125,32,10,16,458,64,43
D.Del.,"5,159",Delaware,23,282,57,137,378,38,210,4,24,6,64,"2,337",73,767,3,5,97,113,66
D.D.C.,"9,786",District of Columbia,85,20,183,112,236,92,718,139,118,28,39,13,34,19,26,15,361,47,18
M.D.Fla.,"16,919",Florida,17,265,"1,246","2,751",894,439,"2,907",19,519,53,"1,936",166,316,54,55,81,"1,363",351,154
N.D.Fla.,"3,079",Florida,3,16,233,149,103,23,686,1,55,6,491,10,210,5,25,10,221,40,13
